Centre ID,Zonal IIT,Centre Name,City
1001,IIT Bombay,iON Digital Zone iDZ Pato Plaza,Panaji
1002,IIT Bombay,DON BOSCO COLLEGE OF ENGINEERING,Madgaon
1003,IIT Bombay,iON Digital Zone iDZ Bopal,Ahmedabad
1004,IIT Bombay,iON Digital Zone iDZ 1 Odhav,Ahmedabad
1005,IIT Bombay,iON Digital Zone iDZ 2 Odhav,Ahmedabad
1006,IIT Bombay,iON Digital Zone iDZ Vastral,Ahmedabad
1007,IIT Bombay,Silver Oak College of Engineering & Technology Block D,Ahmedabad
1008,IIT Bombay,Darsh Infotech,Anand
1009,IIT Bombay,Sardar Patel College Of Engineering,Anand
1010,IIT Bombay,Gyanmanjari Institute of Technology,Bhavnagar
1011,IIT Bombay,Department of Computer Science Krantiguru Shyamji Krishna Verma Kachchh University,Bhuj
1012,IIT Bombay,Shri R.R.Lalan College,Bhuj
1013,IIT Bombay,iON Digital Zone iDZ Sector 26,Gandhinagar
1014,IIT Bombay,Kaavyaratna Info Services,Gandhinagar
1015,IIT Bombay,Global Institute,Himmatnagar
1016,IIT Bombay,AMATYAS Global IT Solution,Jamnagar
1017,IIT Bombay,iON Digital Zone iDZ Manav Ashram,Mehsana
1018,IIT Bombay,iON Digital Zone iDZ 1 Metoda,Rajkot
1019,IIT Bombay,iON Digital Zone iDZ 2 Metoda,Rajkot
1020,IIT Bombay,iON Digital Zone iDZ 3 Metoda,Rajkot
1021,IIT Bombay,Marwadi University,Rajkot
1022,IIT Bombay,iON Digital Zone iDZ Unn Center A,Surat
1023,IIT Bombay,iON Digital Zone iDZ Unn Center B,Surat
1024,IIT Bombay,GIDC Degree Engineering College,Navsari
1025,IIT Bombay,Sitarambhai Naranji Patel Institute Of Technology And Research Centre Umrakh,Surat
1026,IIT Bombay,R.N.G.Patel Institute Of Technology -RNGPIT,Surat
1027,IIT Bombay,Vidhyabharti Trust College Of Master In Computer Application,Surat
1028,IIT Bombay,Shree Ram Exam Center,Surat
1029,IIT Bombay,A. Y. DADABHAI TECHNICAL INSTITUTE,Surat
1030,IIT Bombay,C. K. Pithawala College of Engineering & Technology,Surat
1031,IIT Bombay,Vimal Tormal Poddar BCA College,Surat
1032,IIT Bombay,iON Digital Zone iDZ 2 Gotri,Vadodara
1033,IIT Bombay,Binary Bit Technology,Vadodara
1034,IIT Bombay,Vadodara Institute of Engineering,Vadodara
1035,IIT Bombay,Advaita Gurukul,Silvasa
1036,IIT Bombay,Laxmi Vidyapeeth,Valsad
