ans,diagram,num,optA,optB,optC,optD,subject,text,type
C,,1,"For $\alpha = 2$, $\lim_{x \to x_0} \left| \frac{g(x)+ e^{x_0}}{x - x_0} \right| = 0$","For $\alpha = 2$, $\lim_{x \to x_0} \left| \frac{g(x)+ e^{x_0}}{x - x_0} \right| = 1$","For $\alpha = 3$, $\lim_{x \to x_0} \left| \frac{g(x)+ e^{x_0}}{x - x_0} \right| = 0$","For $\alpha = 3$, $\lim_{x \to x_0} \left| \frac{g(x)+ e^{x_0}}{x - x_0} \right| = \frac{2}{3}$",math,"Let $x_0$ be the real number such that $e^{x_0} + x_0 = 0$. For a given real number, define $$g(x) = \frac{3xe^x + 3x - \alpha e^x - \alpha x}{3(e^x + 1)}$$ for all real numbers x. Then which one of the following statements is TRUE?",SCA
B,,2,$$\frac{17}{16} - \log_e 4$$,$$\frac{33}{8} - \log_e 4$$,$$\frac{57}{8} - \log_e 4$$,$$\frac{17}{2} - \log_e 4$$,math,"Let $\mathbb{R}$ denote the set of all real numbers. Then the area of the region $$\lbrace (x, y) \in \mathbb{R} \times \mathbb{R} : x > 0, y > 1/x , 5x - 4y - 1 > 0, 4x + 4y - 17 < 0 \rbrace$$ is",SCA
C,,3,1,2,3,5,math,"The total number of real solutions of the equation $$\theta = \tan^{-1}(2 \tan \theta ) - \frac{1}{2} \sin^{-1} \left( \frac{6\tan\theta}{9 + \tan^2 \theta}\right)$$ is (Here, the inverse trigonometric functions $\sin^{-1}x$ and $\tan^{-1}x$ assume values in $\left[ -\frac{\pi}{2}, \frac{\pi}{2} \right]$ and $\left( -\frac{\pi}{2}, \frac{\pi}{2} \right)$, respectively.)",SCA
A,,4,$-6\sqrt{2}$,$-3\sqrt{2}$,$-9\sqrt{2}$,$-12\sqrt{2}$,math,"Let S denote the locus of the point of intersection of the pair of lines $4x - 3y = 12\alpha$, $4\alpha x + 3\alpha y = 12$ , where $\alpha$ varies over the set of non-zero real numbers. Let T be the tangent to S passing through the points (p, 0) and (0, q), q > 0, and parallel to the line $4x - \frac{3}{\sqrt{2}}y  = 0$ . Then the value of pq is",SCA
AB,,5,The determinant of $Q - 2I$ is zero,The determinant of $Q - 6I$ is 12,The determinant of $Q - 3I$ is 15,yz = 2,math,"Let $I = \begin{bmatrix}1 & 0 \\\ 0 & 1\end{bmatrix}$ and $P = \begin{bmatrix}2 & 0 \\\ 0 & 3\end{bmatrix}$. Let $Q = \begin{bmatrix}x & y \\\ z & 4\end{bmatrix}$ for some non-zero real numbers x, y, and z, for which there is a $2 \times 2$ matrix R with all entries being non-zero real numbers, such that $QR = RP$. Then which of the following statements is (are) TRUE?",MCA
AC,,6,"$(4, \sqrt{3} ) \in S$","$(5, \sqrt{2} ) \in S$",Area of R is $\frac{14}{3} - 2\sqrt{3}$,Area of R is $\frac{14}{3} - \sqrt{3}$,math,"Let S denote the locus of the mid-points of those chords of the parabola $y^2 = x$ , such that the area of the region enclosed between the parabola and the chord is 4/3. Let R denote the region lying in the first quadrant, enclosed by the parabola $y^2 = x$, the curve S, and the lines x = 1 and x = 4 . Then which of the following statements is (are) TRUE?",MCA
AC,,7,The equation of the line joining P and Q is $2x + 3y = 3 (1 + \sqrt{3} )$,The equation of the line joining P and Q is $2x + y = 3 (1 + \sqrt{3})$,"If $N_2 = (x_2, 0)$, then $3|N_2Q| = 2|N_2S|$","If $N_1 = (x_1, 0)$, then $9|N_1P| = 4|N_1R|$",math,"Let $P(x_1, y_1)$ and $Q(x_2, y_2)$ be two distinct points on the ellipse $$\frac{x^2}{9} + \frac{y^2}{4} = 1$$ such that $y_1 > 0$, and $y_2 > 0$. Let C denote the circle $x^2 + y^2 = 9$, and M be the point (3, 0). Suppose the line $x = x_1$ intersects C at R, and the line $x = x_2$ intersects C at S, such that the y-coordinates of R and S are positive. Let $\angle ROM = \frac{\pi}{6}$ and $\angle SOM = \frac{\pi}{3}$ , where O denotes the origin (0, 0). Let |XY| denote the length of the line segment XY . Then which of the following statements is (are) TRUE?",MCA
BCD,,8,The point x = 0 is a point of local maxima of f,The point x = 0 is a point of local minima of f,"Number of points of local maxima of f in the interval $[\pi, 6\pi]$ is 3","Number of points of local minima of f in the interval $[2\pi, 4\pi]$ is 1",math,"Let $\mathbb{R}$ denote the set of all real numbers. Let $f: \mathbb{R} \to \mathbb{R}$ be defined by $$f(x) = \begin{cases} \frac{6x+sinx}{2x+sinx} & x \neq 0, \\\ 7/3 & x = 0. \end{cases}$$ Then which of the following statements is (are) TRUE?",MCA
"[0.7,0.8]",,9,,,,,math,"Let $y(x)$ be the solution of the differential equation $$x^2 \frac{dy}{dx} + xy = x^2 + y^2, \  x > \frac{1}{e}$$ satisfying y(1) = 0.  Then the value of $2 \frac{(y(e))^2}{y(e^2)}$ is ___________.",NT
6,,10,,,,,math,"Let $a_0, a_1, ... , a_{23}$ be real numbers such that $$\left(1 + \frac{2}{5} x\right)^{23} = \sum_{i=0}^{23} a_ix^i $$ for every real number x. Let $a_r$ be the largest among the numbers $a_j$ for $0 \le j \le 23$. Then the value of r is ___________.",NT
